Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,ID,Uri,Ref_Track,URL_features,Duration_ms,time_signature,Genre
YuveYuveYu,0.624,0.857,10,-6.25,0,0.0542,0.0208,0.206,0.11,0.324,131.926,audio_features,6J2VvzKwWc2f0JP5RQVZjq,spotify:track:6J2VvzKwWc2f0JP5RQVZjq,https://api.spotify.com/v1/tracks/6J2VvzKwWc2f0JP5RQVZjq,https://api.spotify.com/v1/audio-analysis/6J2VvzKwWc2f0JP5RQVZjq,282920,4,metal
Gloryhammer,0.517,0.916,0,-4.933,1,0.0559,0.000182,0.00191,0.306,0.444,135.996,audio_features,4HA34COgxgVJ6zK88UN4Ik,spotify:track:4HA34COgxgVJ6zK88UN4Ik,https://api.spotify.com/v1/tracks/4HA34COgxgVJ6zK88UN4Ik,https://api.spotify.com/v1/audio-analysis/4HA34COgxgVJ6zK88UN4Ik,300320,4,metal
Nostos,0.251,0.894,8,-4.103,0,0.057,0.0144,0,0.123,0.297,114.223,audio_features,3W6Xik6Xxf06JuUoZSATlD,spotify:track:3W6Xik6Xxf06JuUoZSATlD,https://api.spotify.com/v1/tracks/3W6Xik6Xxf06JuUoZSATlD,https://api.spotify.com/v1/audio-analysis/3W6Xik6Xxf06JuUoZSATlD,175353,4,metal
Yggdrasil,0.469,0.743,1,-5.57,0,0.0272,0.00222,0.000111,0.276,0.481,86.953,audio_features,2gGveBaLJQMtJ43X4UL5kH,spotify:track:2gGveBaLJQMtJ43X4UL5kH,https://api.spotify.com/v1/tracks/2gGveBaLJQMtJ43X4UL5kH,https://api.spotify.com/v1/audio-analysis/2gGveBaLJQMtJ43X4UL5kH,272292,4,metal
Incense&Iron,0.487,0.952,1,-4.429,0,0.0613,0.000228,0,0.161,0.329,125.993,audio_features,1lRF81A1C9QoCgBcEop2zg,spotify:track:1lRF81A1C9QoCgBcEop2zg,https://api.spotify.com/v1/tracks/1lRF81A1C9QoCgBcEop2zg,https://api.spotify.com/v1/audio-analysis/1lRF81A1C9QoCgBcEop2zg,237933,4,metal
WelcometoHell,0.43,0.797,2,-5.907,0,0.0303,0.000308,0.0566,0.323,0.352,147.982,audio_features,3lUQ6y8XeeaoK2hPydcX9c,spotify:track:3lUQ6y8XeeaoK2hPydcX9c,https://api.spotify.com/v1/tracks/3lUQ6y8XeeaoK2hPydcX9c,https://api.spotify.com/v1/audio-analysis/3lUQ6y8XeeaoK2hPydcX9c,262719,4,metal
Ambiramus,0.434,0.908,6,-4.715,1,0.0936,0.00791,0,0.662,0.461,126.331,audio_features,6sXsi4DsxtpI4BnfhaG77v,spotify:track:6sXsi4DsxtpI4BnfhaG77v,https://api.spotify.com/v1/tracks/6sXsi4DsxtpI4BnfhaG77v,https://api.spotify.com/v1/audio-analysis/6sXsi4DsxtpI4BnfhaG77v,173213,4,metal
Gunman,0.308,0.965,8,-3.172,1,0.0591,2.28E-05,0.0648,0.117,0.189,175.036,audio_features,3Mz5lXbMBK2tUmKAwAJwi1,spotify:track:3Mz5lXbMBK2tUmKAwAJwi1,https://api.spotify.com/v1/tracks/3Mz5lXbMBK2tUmKAwAJwi1,https://api.spotify.com/v1/audio-analysis/3Mz5lXbMBK2tUmKAwAJwi1,317733,4,metal
NoMoreHollywoodEndings,0.5,0.925,4,-3.467,0,0.0378,0.00094,0,0.294,0.372,92.988,audio_features,7AstJIsEomp0hJyMasOqLN,spotify:track:7AstJIsEomp0hJyMasOqLN,https://api.spotify.com/v1/tracks/7AstJIsEomp0hJyMasOqLN,https://api.spotify.com/v1/audio-analysis/7AstJIsEomp0hJyMasOqLN,234787,4,metal
Promises,0.479,0.977,2,-4.515,1,0.086,1.66E-05,5.31E-05,0.298,0.139,150.01,audio_features,1L4UqbKtfM4bk3UdOzrXny,spotify:track:1L4UqbKtfM4bk3UdOzrXny,https://api.spotify.com/v1/tracks/1L4UqbKtfM4bk3UdOzrXny,https://api.spotify.com/v1/audio-analysis/1L4UqbKtfM4bk3UdOzrXny,285925,4,metal
RagnarsKv?i,0.519,0.944,11,-4.89,0,0.0552,0.0003,2.67E-05,0.395,0.439,108.05,audio_features,3RHQgksnzhtbgBpFwYhMgr,spotify:track:3RHQgksnzhtbgBpFwYhMgr,https://api.spotify.com/v1/tracks/3RHQgksnzhtbgBpFwYhMgr,https://api.spotify.com/v1/audio-analysis/3RHQgksnzhtbgBpFwYhMgr,248187,4,metal
AngusMcFife,0.495,0.959,0,-3.621,1,0.0367,0.000216,2.18E-06,0.339,0.667,90.024,audio_features,4sBlQ2yaxrj8zF7J8EE6cA,spotify:track:4sBlQ2yaxrj8zF7J8EE6cA,https://api.spotify.com/v1/tracks/4sBlQ2yaxrj8zF7J8EE6cA,https://api.spotify.com/v1/audio-analysis/4sBlQ2yaxrj8zF7J8EE6cA,208227,4,metal
SlayerofKings,0.397,0.929,2,-4.511,1,0.116,0.000596,0.000541,0.315,0.116,149.936,audio_features,0qoznAGKZOBgne7MiycPPc,spotify:track:0qoznAGKZOBgne7MiycPPc,https://api.spotify.com/v1/tracks/0qoznAGKZOBgne7MiycPPc,https://api.spotify.com/v1/audio-analysis/0qoznAGKZOBgne7MiycPPc,303787,4,metal
MarchAgainsttheTyrant,0.434,0.884,7,-6.342,1,0.0687,0.00438,0.000676,0.27,0.216,89.967,audio_features,2xCPy6z5qUIwHMHyRBRVSx,spotify:track:2xCPy6z5qUIwHMHyRBRVSx,https://api.spotify.com/v1/tracks/2xCPy6z5qUIwHMHyRBRVSx,https://api.spotify.com/v1/audio-analysis/2xCPy6z5qUIwHMHyRBRVSx,562693,4,metal
Ategnatos,0.48,0.969,4,-5.897,0,0.166,0.000107,0.00261,0.14,0.146,115.055,audio_features,2R9VjDWhLhQ6LsQBcmRBYK,spotify:track:2R9VjDWhLhQ6LsQBcmRBYK,https://api.spotify.com/v1/tracks/2R9VjDWhLhQ6LsQBcmRBYK,https://api.spotify.com/v1/audio-analysis/2R9VjDWhLhQ6LsQBcmRBYK,293547,4,metal
FireandFlame,0.514,0.997,7,-4.297,1,0.121,1.18E-05,0.193,0.377,0.102,116.946,audio_features,7JToOyehVvHHHqxHPwS9La,spotify:track:7JToOyehVvHHHqxHPwS9La,https://api.spotify.com/v1/tracks/7JToOyehVvHHHqxHPwS9La,https://api.spotify.com/v1/audio-analysis/7JToOyehVvHHHqxHPwS9La,339413,4,metal
